Review ID,Product,Rating,Review Text
R-1000,Noise Cancelling Earbuds,1,The Noise Cancelling Earbuds stopped working after about a week of normal use.
R-1001,Wireless Headphones,3,"The Wireless Headphones is fine but nothing special, does the basic job."
R-1002,Running Shoes,5,"This Running Shoes exceeded my expectations, I use it every single day now."
R-1003,Robot Vacuum,1,The Robot Vacuum stopped working after about a week of normal use.
R-1004,Portable Charger,2,Battery life on the Portable Charger is much shorter than advertised.
R-1005,Yoga Mat,5,"Super comfortable and lightweight, love this Yoga Mat."
R-1006,Backpack,2,The Backpack took over two weeks to arrive and the box was damaged.
R-1007,Wireless Headphones,5,"Great value for the price, this Wireless Headphones works exactly as described."
R-1008,Bluetooth Speaker,5,"This Bluetooth Speaker exceeded my expectations, I use it every single day now."
R-1009,Cast Iron Skillet,3,Instructions for the Cast Iron Skillet were confusing and poorly translated.
R-1010,Wireless Headphones,2,Battery life on the Wireless Headphones is much shorter than advertised.
R-1011,Bluetooth Speaker,2,Battery life on the Bluetooth Speaker is much shorter than advertised.
R-1012,Backpack,5,"This Backpack exceeded my expectations, I use it every single day now."
R-1013,Coffee Grinder,5,"Super comfortable and lightweight, love this Coffee Grinder."
R-1014,Leather Wallet,5,Shipping was fast and the Leather Wallet arrived well packaged.
R-1015,Office Chair,1,I contacted support about my Office Chair three times and never got a response.
R-1016,Ceramic Mug Set,4,Return process for the Ceramic Mug Set was smooth and refund was quick.
R-1017,Smart Watch,3,"The Smart Watch is fine but nothing special, does the basic job."
R-1018,Robot Vacuum,2,"Quality feels cheap, not what I expected from the photos of this Robot Vacuum."
R-1019,Office Chair,4,"Exactly as described, the Office Chair matches the listing perfectly."
R-1020,Standing Desk Converter,5,"Great value for the price, this Standing Desk Converter works exactly as described."
R-1021,Desk Lamp,1,The Desk Lamp stopped working after about a week of normal use.
R-1022,Phone Case,2,The Phone Case arrived with a missing part and I had to request a replacement.
R-1023,Laptop Stand,3,"The Laptop Stand is fine but nothing special, does the basic job."
R-1024,Stainless Steel Water Bottle,2,The color of the Stainless Steel Water Bottle was different from what was shown online.
R-1025,Weighted Blanket,1,The Weighted Blanket stopped working after about a week of normal use.
R-1026,Desk Lamp,5,"Great value for the price, this Desk Lamp works exactly as described."
R-1027,Weighted Blanket,3,Packaging was excessive and wasteful for such a small Weighted Blanket.
R-1028,Noise Cancelling Earbuds,3,Instructions for the Noise Cancelling Earbuds were confusing and poorly translated.
R-1029,Phone Case,5,"Super comfortable and lightweight, love this Phone Case."
R-1030,Bluetooth Speaker,5,"Great value for the price, this Bluetooth Speaker works exactly as described."
R-1031,Stainless Steel Water Bottle,5,"This Stainless Steel Water Bottle exceeded my expectations, I use it every single day now."
R-1032,Office Chair,3,Packaging was excessive and wasteful for such a small Office Chair.
R-1033,Yoga Mat,5,"This Yoga Mat exceeded my expectations, I use it every single day now."
R-1034,Standing Desk Converter,5,"Fantastic build quality, this Standing Desk Converter feels sturdy and well made."
R-1035,Leather Wallet,2,The color of the Leather Wallet was different from what was shown online.
R-1036,Noise Cancelling Earbuds,2,The Noise Cancelling Earbuds arrived with a missing part and I had to request a replacement.
R-1037,Electric Kettle,2,The Electric Kettle arrived with a missing part and I had to request a replacement.
R-1038,Phone Case,2,"Quality feels cheap, not what I expected from the photos of this Phone Case."
R-1039,Portable Charger,3,"The Portable Charger is fine but nothing special, does the basic job."
R-1040,Ceramic Mug Set,5,"Great value for the price, this Ceramic Mug Set works exactly as described."
R-1041,Laptop Stand,1,I contacted support about my Laptop Stand three times and never got a response.
R-1042,Weighted Blanket,5,"This Weighted Blanket exceeded my expectations, I use it every single day now."
R-1043,Electric Kettle,2,The color of the Electric Kettle was different from what was shown online.
R-1044,Desk Lamp,3,"The Desk Lamp is fine but nothing special, does the basic job."
R-1045,Noise Cancelling Earbuds,2,Battery life on the Noise Cancelling Earbuds is much shorter than advertised.
R-1046,Running Shoes,4,"Exactly as described, the Running Shoes matches the listing perfectly."
R-1047,Office Chair,2,The Office Chair took over two weeks to arrive and the box was damaged.
R-1048,Running Shoes,2,The Running Shoes took over two weeks to arrive and the box was damaged.
R-1049,Smart Watch,5,"Fantastic build quality, this Smart Watch feels sturdy and well made."
R-1050,Leather Wallet,5,"Great value for the price, this Leather Wallet works exactly as described."
R-1051,Bluetooth Speaker,5,"Super comfortable and lightweight, love this Bluetooth Speaker."
R-1052,Ceramic Mug Set,4,"Exactly as described, the Ceramic Mug Set matches the listing perfectly."
R-1053,Bluetooth Speaker,4,"Works great, easy to set up, would recommend this Bluetooth Speaker to anyone."
R-1054,Desk Lamp,2,The color of the Desk Lamp was different from what was shown online.
R-1055,Robot Vacuum,3,"The Robot Vacuum is fine but nothing special, does the basic job."
R-1056,Robot Vacuum,5,"This Robot Vacuum exceeded my expectations, I use it every single day now."
R-1057,Hiking Boots,2,Battery life on the Hiking Boots is much shorter than advertised.
R-1058,Weighted Blanket,3,"The Weighted Blanket is fine but nothing special, does the basic job."
R-1059,Hiking Boots,5,"Super comfortable and lightweight, love this Hiking Boots."
R-1060,Backpack,5,"Super comfortable and lightweight, love this Backpack."
R-1061,Desk Lamp,2,The Desk Lamp arrived with a missing part and I had to request a replacement.
R-1062,Running Shoes,5,Customer service was incredibly helpful when I had a question about my Running Shoes.
R-1063,Cast Iron Skillet,4,"Works great, easy to set up, would recommend this Cast Iron Skillet to anyone."
R-1064,Yoga Mat,2,The Yoga Mat took over two weeks to arrive and the box was damaged.
R-1065,Standing Desk Converter,5,Customer service was incredibly helpful when I had a question about my Standing Desk Converter.
R-1066,Noise Cancelling Earbuds,1,I contacted support about my Noise Cancelling Earbuds three times and never got a response.
R-1067,Portable Charger,4,Return process for the Portable Charger was smooth and refund was quick.
R-1068,Laptop Stand,5,"Great value for the price, this Laptop Stand works exactly as described."
R-1069,Desk Lamp,5,"Fantastic build quality, this Desk Lamp feels sturdy and well made."
R-1070,Laptop Stand,2,The color of the Laptop Stand was different from what was shown online.
R-1071,Cast Iron Skillet,3,"The Cast Iron Skillet is fine but nothing special, does the basic job."
R-1072,Weighted Blanket,5,Shipping was fast and the Weighted Blanket arrived well packaged.
R-1073,Portable Charger,1,The Portable Charger stopped working after about a week of normal use.
R-1074,Portable Charger,2,Battery life on the Portable Charger is much shorter than advertised.
R-1075,Office Chair,3,"The Office Chair is fine but nothing special, does the basic job."
R-1076,Office Chair,4,"Exactly as described, the Office Chair matches the listing perfectly."
R-1077,Standing Desk Converter,3,Packaging was excessive and wasteful for such a small Standing Desk Converter.
R-1078,Backpack,1,I contacted support about my Backpack three times and never got a response.
R-1079,Coffee Grinder,5,Shipping was fast and the Coffee Grinder arrived well packaged.
R-1080,Hiking Boots,3,"The Hiking Boots is fine but nothing special, does the basic job."
R-1081,Cast Iron Skillet,1,I contacted support about my Cast Iron Skillet three times and never got a response.
R-1082,Cast Iron Skillet,1,The Cast Iron Skillet stopped working after about a week of normal use.
R-1083,Noise Cancelling Earbuds,3,Packaging was excessive and wasteful for such a small Noise Cancelling Earbuds.
R-1084,Noise Cancelling Earbuds,2,The Noise Cancelling Earbuds is overpriced for what you actually get.
R-1085,Laptop Stand,2,"Quality feels cheap, not what I expected from the photos of this Laptop Stand."
R-1086,Robot Vacuum,2,The Robot Vacuum arrived with a missing part and I had to request a replacement.
R-1087,Office Chair,1,I contacted support about my Office Chair three times and never got a response.
R-1088,Weighted Blanket,2,The Weighted Blanket is overpriced for what you actually get.
R-1089,Wireless Headphones,3,Instructions for the Wireless Headphones were confusing and poorly translated.
R-1090,Smart Watch,4,"Works great, easy to set up, would recommend this Smart Watch to anyone."
R-1091,Wireless Headphones,1,The Wireless Headphones stopped working after about a week of normal use.
R-1092,Phone Case,3,Packaging was excessive and wasteful for such a small Phone Case.
R-1093,Running Shoes,2,The Running Shoes took over two weeks to arrive and the box was damaged.
R-1094,Running Shoes,5,"Super comfortable and lightweight, love this Running Shoes."
R-1095,Yoga Mat,5,"Great value for the price, this Yoga Mat works exactly as described."
R-1096,Hiking Boots,4,"Works great, easy to set up, would recommend this Hiking Boots to anyone."
R-1097,Yoga Mat,2,Battery life on the Yoga Mat is much shorter than advertised.
R-1098,Office Chair,5,Customer service was incredibly helpful when I had a question about my Office Chair.
R-1099,Robot Vacuum,4,"Works great, easy to set up, would recommend this Robot Vacuum to anyone."
R-1100,Weighted Blanket,1,I contacted support about my Weighted Blanket three times and never got a response.
R-1101,Leather Wallet,2,The Leather Wallet is overpriced for what you actually get.
R-1102,Laptop Stand,4,Return process for the Laptop Stand was smooth and refund was quick.
R-1103,Bluetooth Speaker,2,Battery life on the Bluetooth Speaker is much shorter than advertised.
R-1104,Office Chair,2,"Quality feels cheap, not what I expected from the photos of this Office Chair."
R-1105,Ceramic Mug Set,3,Packaging was excessive and wasteful for such a small Ceramic Mug Set.
R-1106,Desk Lamp,2,The Desk Lamp arrived with a missing part and I had to request a replacement.
R-1107,Coffee Grinder,2,The Coffee Grinder is overpriced for what you actually get.
R-1108,Coffee Grinder,1,The Coffee Grinder stopped working after about a week of normal use.
R-1109,Running Shoes,5,"This Running Shoes exceeded my expectations, I use it every single day now."
R-1110,Yoga Mat,4,"Exactly as described, the Yoga Mat matches the listing perfectly."
R-1111,Wireless Headphones,5,"Super comfortable and lightweight, love this Wireless Headphones."
R-1112,Weighted Blanket,5,"This Weighted Blanket exceeded my expectations, I use it every single day now."
R-1113,Electric Toothbrush,5,"This Electric Toothbrush exceeded my expectations, I use it every single day now."
R-1114,Wireless Headphones,5,"Great value for the price, this Wireless Headphones works exactly as described."
R-1115,Ceramic Mug Set,2,The Ceramic Mug Set took over two weeks to arrive and the box was damaged.
R-1116,Running Shoes,5,"Great value for the price, this Running Shoes works exactly as described."
R-1117,Stainless Steel Water Bottle,4,"Exactly as described, the Stainless Steel Water Bottle matches the listing perfectly."
R-1118,Yoga Mat,2,The Yoga Mat is overpriced for what you actually get.
R-1119,Running Shoes,3,"The Running Shoes is fine but nothing special, does the basic job."
R-1120,Portable Charger,4,"Works great, easy to set up, would recommend this Portable Charger to anyone."
R-1121,Bluetooth Speaker,2,Battery life on the Bluetooth Speaker is much shorter than advertised.
R-1122,Robot Vacuum,5,"Super comfortable and lightweight, love this Robot Vacuum."
R-1123,Electric Toothbrush,4,"Works great, easy to set up, would recommend this Electric Toothbrush to anyone."
R-1124,Running Shoes,4,"Works great, easy to set up, would recommend this Running Shoes to anyone."
R-1125,Backpack,2,"Quality feels cheap, not what I expected from the photos of this Backpack."
R-1126,Standing Desk Converter,1,The Standing Desk Converter stopped working after about a week of normal use.
R-1127,Portable Charger,4,Return process for the Portable Charger was smooth and refund was quick.
R-1128,Phone Case,4,Return process for the Phone Case was smooth and refund was quick.
R-1129,Backpack,2,The color of the Backpack was different from what was shown online.
R-1130,Hiking Boots,2,The Hiking Boots took over two weeks to arrive and the box was damaged.
R-1131,Portable Charger,1,The Portable Charger stopped working after about a week of normal use.
R-1132,Stainless Steel Water Bottle,5,"Fantastic build quality, this Stainless Steel Water Bottle feels sturdy and well made."
R-1133,Hiking Boots,4,"Exactly as described, the Hiking Boots matches the listing perfectly."
R-1134,Standing Desk Converter,5,"This Standing Desk Converter exceeded my expectations, I use it every single day now."
R-1135,Bluetooth Speaker,2,"Quality feels cheap, not what I expected from the photos of this Bluetooth Speaker."
R-1136,Weighted Blanket,2,The color of the Weighted Blanket was different from what was shown online.
R-1137,Robot Vacuum,4,Return process for the Robot Vacuum was smooth and refund was quick.
R-1138,Electric Kettle,3,"The Electric Kettle is fine but nothing special, does the basic job."
R-1139,Coffee Grinder,5,"This Coffee Grinder exceeded my expectations, I use it every single day now."
R-1140,Yoga Mat,2,The color of the Yoga Mat was different from what was shown online.
R-1141,Weighted Blanket,1,The Weighted Blanket stopped working after about a week of normal use.
R-1142,Stainless Steel Water Bottle,2,Battery life on the Stainless Steel Water Bottle is much shorter than advertised.
R-1143,Wireless Headphones,5,"Great value for the price, this Wireless Headphones works exactly as described."
R-1144,Office Chair,5,"This Office Chair exceeded my expectations, I use it every single day now."
R-1145,Electric Kettle,4,Return process for the Electric Kettle was smooth and refund was quick.
R-1146,Wireless Mouse,4,"Works great, easy to set up, would recommend this Wireless Mouse to anyone."
R-1147,Bluetooth Speaker,5,"Fantastic build quality, this Bluetooth Speaker feels sturdy and well made."
R-1148,Stainless Steel Water Bottle,1,I contacted support about my Stainless Steel Water Bottle three times and never got a response.
R-1149,Desk Lamp,5,Shipping was fast and the Desk Lamp arrived well packaged.
R-1150,Desk Lamp,3,"The Desk Lamp is fine but nothing special, does the basic job."
R-1151,Coffee Grinder,3,Packaging was excessive and wasteful for such a small Coffee Grinder.
R-1152,Backpack,2,Battery life on the Backpack is much shorter than advertised.
R-1153,Portable Charger,4,"Works great, easy to set up, would recommend this Portable Charger to anyone."
R-1154,Robot Vacuum,2,"Quality feels cheap, not what I expected from the photos of this Robot Vacuum."
R-1155,Air Fryer,2,"Quality feels cheap, not what I expected from the photos of this Air Fryer."
R-1156,Stainless Steel Water Bottle,5,"Super comfortable and lightweight, love this Stainless Steel Water Bottle."
R-1157,Hiking Boots,2,Battery life on the Hiking Boots is much shorter than advertised.
R-1158,Stainless Steel Water Bottle,4,"Exactly as described, the Stainless Steel Water Bottle matches the listing perfectly."
R-1159,Stainless Steel Water Bottle,2,The Stainless Steel Water Bottle took over two weeks to arrive and the box was damaged.
R-1160,Electric Toothbrush,4,"Works great, easy to set up, would recommend this Electric Toothbrush to anyone."
R-1161,Cast Iron Skillet,2,The Cast Iron Skillet is overpriced for what you actually get.
R-1162,Electric Kettle,2,The Electric Kettle took over two weeks to arrive and the box was damaged.
R-1163,Cast Iron Skillet,5,"Great value for the price, this Cast Iron Skillet works exactly as described."
R-1164,Electric Kettle,5,"Great value for the price, this Electric Kettle works exactly as described."
R-1165,Laptop Stand,5,"Great value for the price, this Laptop Stand works exactly as described."
R-1166,Portable Charger,5,"This Portable Charger exceeded my expectations, I use it every single day now."
R-1167,Desk Lamp,1,The Desk Lamp stopped working after about a week of normal use.
R-1168,Electric Toothbrush,5,"This Electric Toothbrush exceeded my expectations, I use it every single day now."
R-1169,Electric Toothbrush,3,Instructions for the Electric Toothbrush were confusing and poorly translated.
R-1170,Stainless Steel Water Bottle,3,Instructions for the Stainless Steel Water Bottle were confusing and poorly translated.
R-1171,Yoga Mat,4,Return process for the Yoga Mat was smooth and refund was quick.
R-1172,Portable Charger,5,"Super comfortable and lightweight, love this Portable Charger."
R-1173,Electric Toothbrush,2,The Electric Toothbrush is overpriced for what you actually get.
R-1174,Smart Watch,3,"The Smart Watch is fine but nothing special, does the basic job."
R-1175,Bluetooth Speaker,4,"Exactly as described, the Bluetooth Speaker matches the listing perfectly."
R-1176,Running Shoes,3,"The Running Shoes is fine but nothing special, does the basic job."
R-1177,Desk Lamp,5,Customer service was incredibly helpful when I had a question about my Desk Lamp.
R-1178,Portable Charger,3,Packaging was excessive and wasteful for such a small Portable Charger.
R-1179,Coffee Grinder,4,"Exactly as described, the Coffee Grinder matches the listing perfectly."
R-1180,Office Chair,5,"Great value for the price, this Office Chair works exactly as described."
R-1181,Wireless Headphones,2,The color of the Wireless Headphones was different from what was shown online.
R-1182,Laptop Stand,5,"Super comfortable and lightweight, love this Laptop Stand."
R-1183,Standing Desk Converter,5,"Great value for the price, this Standing Desk Converter works exactly as described."
R-1184,Weighted Blanket,2,"Quality feels cheap, not what I expected from the photos of this Weighted Blanket."
R-1185,Cast Iron Skillet,3,"The Cast Iron Skillet is fine but nothing special, does the basic job."
R-1186,Robot Vacuum,2,The Robot Vacuum arrived with a missing part and I had to request a replacement.
R-1187,Yoga Mat,5,"This Yoga Mat exceeded my expectations, I use it every single day now."
R-1188,Phone Case,3,Packaging was excessive and wasteful for such a small Phone Case.
R-1189,Electric Kettle,2,The color of the Electric Kettle was different from what was shown online.
R-1190,Weighted Blanket,3,Packaging was excessive and wasteful for such a small Weighted Blanket.
R-1191,Laptop Stand,2,The Laptop Stand is overpriced for what you actually get.
R-1192,Wireless Headphones,2,Battery life on the Wireless Headphones is much shorter than advertised.
R-1193,Air Fryer,1,The Air Fryer stopped working after about a week of normal use.
R-1194,Robot Vacuum,3,"The Robot Vacuum is fine but nothing special, does the basic job."
R-1195,Standing Desk Converter,1,The Standing Desk Converter stopped working after about a week of normal use.
R-1196,Hiking Boots,2,Battery life on the Hiking Boots is much shorter than advertised.
R-1197,Robot Vacuum,3,"The Robot Vacuum is fine but nothing special, does the basic job."
R-1198,Air Fryer,3,Instructions for the Air Fryer were confusing and poorly translated.
R-1199,Bluetooth Speaker,4,"Exactly as described, the Bluetooth Speaker matches the listing perfectly."
