Address,Price,Bedrooms,Bathrooms,Description
9991 Birch St,345000,3,2,Modern downtown condo with floor-to-ceiling windows and skyline views.
9719 Maple Blvd,465000,4,3,Modern downtown condo with floor-to-ceiling windows and skyline views.
7808 Magnolia Blvd,1385000,1,1.5,Waterfront property with a private dock and panoramic lake views.
7241 Chestnut St,425000,2,3,Newly built townhouse with an open floor plan and attached two-car garage.
5360 Oak Ave,450000,3,2,Newly built townhouse with an open floor plan and attached two-car garage.
4822 Pine Ct,215000,4,2.5,Compact studio apartment walking distance to shops and public transit.
4235 Willow St,2360000,1,2,"Luxury estate with private pool, home theater, and a three-car garage."
8989 Chestnut Ln,370000,5,1,Rural farmhouse on several acres with a barn and mature fruit trees.
8267 Chestnut St,1680000,4,2,"Luxury estate with private pool, home theater, and a three-car garage."
4819 Chestnut Blvd,135000,4,1.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
4020 Cedar Dr,375000,1,3,Newly built townhouse with an open floor plan and attached two-car garage.
1627 Elm St,485000,4,2.5,Historic brownstone with original woodwork and updated kitchen.
8265 Birch Ct,375000,4,1.5,Newly built townhouse with an open floor plan and attached two-car garage.
7836 Elm Ln,1180000,5,2.5,Waterfront property with a private dock and panoramic lake views.
9920 Magnolia Blvd,570000,3,1.5,Historic brownstone with original woodwork and updated kitchen.
5668 Magnolia Dr,300000,3,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
9716 Sycamore Blvd,1920000,4,2,"Luxury estate with private pool, home theater, and a three-car garage."
8035 Willow Dr,385000,3,3,Newly built townhouse with an open floor plan and attached two-car garage.
5372 Elm Blvd,825000,3,2.5,Historic brownstone with original woodwork and updated kitchen.
6830 Maple Dr,185000,3,1.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
6425 Cedar Ln,565000,5,2.5,Newly built townhouse with an open floor plan and attached two-car garage.
5539 Oak Ln,1520000,4,3,"Luxury estate with private pool, home theater, and a three-car garage."
6817 Cedar St,610000,1,1.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
6612 Oak Dr,590000,3,2,Newly built townhouse with an open floor plan and attached two-car garage.
8964 Maple Ct,720000,3,2.5,Historic brownstone with original woodwork and updated kitchen.
3827 Oak Ln,470000,4,2,Modern downtown condo with floor-to-ceiling windows and skyline views.
5006 Maple St,380000,3,1.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
5973 Willow Ln,275000,1,2,Compact studio apartment walking distance to shops and public transit.
9372 Cedar Ave,355000,4,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
4045 Chestnut Ct,305000,4,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
7629 Birch Blvd,350000,3,2,Cozy suburban family home with a fenced backyard near top-rated schools.
2688 Oak Ln,2390000,3,3,"Luxury estate with private pool, home theater, and a three-car garage."
4197 Chestnut Dr,240000,3,2.5,Compact studio apartment walking distance to shops and public transit.
1847 Elm Ln,155000,5,2.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
4937 Maple Blvd,625000,4,2,Gated community home with a shared clubhouse and resort-style pool.
903 Sycamore Blvd,295000,1,3,Rural farmhouse on several acres with a barn and mature fruit trees.
5872 Elm Blvd,605000,3,1.5,Newly built townhouse with an open floor plan and attached two-car garage.
1691 Maple Dr,190000,3,1.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
2253 Oak Dr,350000,4,2,Newly built townhouse with an open floor plan and attached two-car garage.
3389 Cedar Ct,265000,3,1.5,Compact studio apartment walking distance to shops and public transit.
2795 Birch Ln,230000,4,2,Compact studio apartment walking distance to shops and public transit.
1986 Chestnut St,1605000,5,2,Waterfront property with a private dock and panoramic lake views.
9231 Willow St,350000,5,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
2124 Chestnut Dr,210000,3,3,Rural farmhouse on several acres with a barn and mature fruit trees.
1875 Elm Ln,1395000,3,2,Waterfront property with a private dock and panoramic lake views.
1135 Chestnut Blvd,2035000,4,1.5,"Luxury estate with private pool, home theater, and a three-car garage."
2390 Maple St,1480000,3,1,Waterfront property with a private dock and panoramic lake views.
3946 Magnolia Ave,1280000,1,1,Waterfront property with a private dock and panoramic lake views.
6966 Sycamore Blvd,355000,3,3,Rural farmhouse on several acres with a barn and mature fruit trees.
8117 Sycamore Ln,410000,4,1,Cozy suburban family home with a fenced backyard near top-rated schools.
3659 Chestnut Ln,690000,4,2,Waterfront property with a private dock and panoramic lake views.
9020 Willow St,150000,1,2,"Fixer-upper with great bones, ideal for an investor or renovation project."
7550 Oak Blvd,295000,2,1,Rural farmhouse on several acres with a barn and mature fruit trees.
449 Maple Dr,195000,4,3,"Fixer-upper with great bones, ideal for an investor or renovation project."
3462 Oak Ct,115000,5,3,"Fixer-upper with great bones, ideal for an investor or renovation project."
5483 Cedar Ct,185000,2,1.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
2229 Magnolia Dr,1905000,5,1.5,"Luxury estate with private pool, home theater, and a three-car garage."
2259 Maple Dr,315000,4,1,Cozy suburban family home with a fenced backyard near top-rated schools.
2954 Birch St,185000,3,1,"Fixer-upper with great bones, ideal for an investor or renovation project."
1962 Oak Ln,515000,3,3,Cozy suburban family home with a fenced backyard near top-rated schools.
9826 Oak Ln,585000,3,3,Newly built townhouse with an open floor plan and attached two-car garage.
8643 Birch Ln,620000,4,1,Historic brownstone with original woodwork and updated kitchen.
7084 Oak Ln,1355000,3,2.5,"Luxury estate with private pool, home theater, and a three-car garage."
2530 Oak Ave,360000,1,2,Newly built townhouse with an open floor plan and attached two-car garage.
9084 Willow Ln,1445000,4,3,Waterfront property with a private dock and panoramic lake views.
8382 Sycamore Ln,735000,3,2.5,Gated community home with a shared clubhouse and resort-style pool.
3622 Pine Ln,390000,5,3,Modern downtown condo with floor-to-ceiling windows and skyline views.
6632 Pine Blvd,160000,3,2.5,"Fixer-upper with great bones, ideal for an investor or renovation project."
4276 Willow Ave,520000,3,2,Modern downtown condo with floor-to-ceiling windows and skyline views.
1627 Pine St,360000,1,1,Newly built townhouse with an open floor plan and attached two-car garage.
1082 Sycamore Ct,275000,2,3,Compact studio apartment walking distance to shops and public transit.
6830 Willow Blvd,690000,4,1,Historic brownstone with original woodwork and updated kitchen.
9937 Birch Dr,440000,1,2,Rural farmhouse on several acres with a barn and mature fruit trees.
8000 Elm St,640000,2,1.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
1982 Birch Ct,285000,4,2,Compact studio apartment walking distance to shops and public transit.
9221 Maple Ct,160000,5,3,"Fixer-upper with great bones, ideal for an investor or renovation project."
5162 Willow Dr,685000,2,2,Waterfront property with a private dock and panoramic lake views.
9378 Pine St,1660000,5,1.5,"Luxury estate with private pool, home theater, and a three-car garage."
1603 Magnolia Ave,515000,4,1,Cozy suburban family home with a fenced backyard near top-rated schools.
2678 Willow Dr,340000,3,2,Rural farmhouse on several acres with a barn and mature fruit trees.
1491 Maple Ave,270000,4,3,Compact studio apartment walking distance to shops and public transit.
4558 Chestnut Blvd,475000,1,1,Cozy suburban family home with a fenced backyard near top-rated schools.
6885 Birch Ave,365000,4,2.5,Rural farmhouse on several acres with a barn and mature fruit trees.
1916 Birch Blvd,550000,3,2.5,Historic brownstone with original woodwork and updated kitchen.
844 Elm Ln,710000,4,2,Gated community home with a shared clubhouse and resort-style pool.
5038 Elm Ave,435000,1,1.5,Gated community home with a shared clubhouse and resort-style pool.
226 Chestnut Blvd,1020000,3,1,Waterfront property with a private dock and panoramic lake views.
8825 Elm Ct,265000,2,2.5,Rural farmhouse on several acres with a barn and mature fruit trees.
1280 Pine Blvd,905000,5,2,Historic brownstone with original woodwork and updated kitchen.
1375 Willow Ct,2315000,1,2.5,"Luxury estate with private pool, home theater, and a three-car garage."
4843 Oak Ln,390000,3,2.5,Rural farmhouse on several acres with a barn and mature fruit trees.
7638 Willow St,2030000,2,3,"Luxury estate with private pool, home theater, and a three-car garage."
9748 Pine Ct,240000,2,2.5,Rural farmhouse on several acres with a barn and mature fruit trees.
5662 Elm Dr,570000,5,2,Modern downtown condo with floor-to-ceiling windows and skyline views.
8793 Magnolia Ave,300000,4,1,Cozy suburban family home with a fenced backyard near top-rated schools.
3971 Oak Ave,205000,4,1.5,Compact studio apartment walking distance to shops and public transit.
2604 Oak Ave,900000,2,3,Waterfront property with a private dock and panoramic lake views.
9594 Chestnut Blvd,485000,5,3,Newly built townhouse with an open floor plan and attached two-car garage.
2573 Chestnut St,605000,5,2,Gated community home with a shared clubhouse and resort-style pool.
4600 Sycamore St,480000,4,2,Newly built townhouse with an open floor plan and attached two-car garage.
7665 Chestnut St,230000,1,2,Compact studio apartment walking distance to shops and public transit.
1357 Oak Ct,2140000,5,2,"Luxury estate with private pool, home theater, and a three-car garage."
9608 Magnolia Blvd,720000,3,2.5,Gated community home with a shared clubhouse and resort-style pool.
3184 Willow Ct,2350000,5,3,"Luxury estate with private pool, home theater, and a three-car garage."
7481 Oak Dr,500000,2,1,Newly built townhouse with an open floor plan and attached two-car garage.
741 Elm Blvd,640000,4,1.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
2700 Willow Dr,480000,4,3,Newly built townhouse with an open floor plan and attached two-car garage.
9895 Maple Blvd,1145000,3,2,Waterfront property with a private dock and panoramic lake views.
9241 Pine Dr,160000,3,1,Compact studio apartment walking distance to shops and public transit.
2563 Willow St,1575000,5,3,Waterfront property with a private dock and panoramic lake views.
6521 Cedar Ct,490000,3,2,Gated community home with a shared clubhouse and resort-style pool.
5481 Cedar Blvd,515000,4,2.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
8431 Willow St,535000,4,2.5,Historic brownstone with original woodwork and updated kitchen.
5698 Chestnut Ave,195000,2,1.5,Compact studio apartment walking distance to shops and public transit.
4946 Oak Ct,115000,2,1,"Fixer-upper with great bones, ideal for an investor or renovation project."
2247 Sycamore Ln,815000,1,2,Historic brownstone with original woodwork and updated kitchen.
2812 Chestnut St,330000,2,3,Cozy suburban family home with a fenced backyard near top-rated schools.
7377 Sycamore Dr,325000,4,1.5,Rural farmhouse on several acres with a barn and mature fruit trees.
5170 Chestnut Ave,410000,4,1.5,Newly built townhouse with an open floor plan and attached two-car garage.
7664 Birch Ln,255000,4,2.5,Compact studio apartment walking distance to shops and public transit.
3371 Sycamore Ave,815000,3,1.5,Historic brownstone with original woodwork and updated kitchen.
6181 Magnolia St,715000,4,2.5,Waterfront property with a private dock and panoramic lake views.
2726 Birch Ln,555000,3,1,Historic brownstone with original woodwork and updated kitchen.
1602 Elm Ln,570000,5,2.5,Historic brownstone with original woodwork and updated kitchen.
6595 Magnolia Dr,150000,3,1,Compact studio apartment walking distance to shops and public transit.
3778 Maple Dr,155000,1,2,"Fixer-upper with great bones, ideal for an investor or renovation project."
2354 Maple Dr,530000,5,1.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
7785 Chestnut Ct,560000,5,1.5,Newly built townhouse with an open floor plan and attached two-car garage.
3633 Cedar Ct,1400000,1,2,"Luxury estate with private pool, home theater, and a three-car garage."
4820 Elm Dr,735000,3,1,Gated community home with a shared clubhouse and resort-style pool.
7589 Oak St,350000,2,2.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
8543 Sycamore Ave,530000,4,1,Newly built townhouse with an open floor plan and attached two-car garage.
5880 Elm Ct,370000,3,1,Cozy suburban family home with a fenced backyard near top-rated schools.
8676 Willow St,265000,4,1,Rural farmhouse on several acres with a barn and mature fruit trees.
9179 Maple Ln,825000,4,3,Historic brownstone with original woodwork and updated kitchen.
6216 Birch Blvd,350000,4,2.5,Newly built townhouse with an open floor plan and attached two-car garage.
5749 Elm Blvd,2110000,5,1,"Luxury estate with private pool, home theater, and a three-car garage."
5872 Magnolia Dr,530000,2,1,Modern downtown condo with floor-to-ceiling windows and skyline views.
3086 Cedar St,495000,3,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
817 Elm St,350000,3,1.5,Newly built townhouse with an open floor plan and attached two-car garage.
8997 Chestnut Dr,195000,4,2.5,Compact studio apartment walking distance to shops and public transit.
883 Willow Dr,1685000,3,2,"Luxury estate with private pool, home theater, and a three-car garage."
7304 Pine Dr,555000,3,2.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
6118 Magnolia Dr,435000,4,2.5,Cozy suburban family home with a fenced backyard near top-rated schools.
9970 Cedar Ct,590000,1,2.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
5472 Birch Dr,1060000,1,1,Waterfront property with a private dock and panoramic lake views.
2830 Chestnut Dr,530000,4,2.5,Newly built townhouse with an open floor plan and attached two-car garage.
7226 Birch Blvd,350000,4,2,Newly built townhouse with an open floor plan and attached two-car garage.
6052 Magnolia Blvd,1390000,4,2.5,"Luxury estate with private pool, home theater, and a three-car garage."
7279 Maple Ave,285000,2,3,Cozy suburban family home with a fenced backyard near top-rated schools.
6033 Pine Ct,470000,5,2,Modern downtown condo with floor-to-ceiling windows and skyline views.
6177 Willow Ln,1590000,4,2.5,"Luxury estate with private pool, home theater, and a three-car garage."
6621 Willow Blvd,405000,4,2,Modern downtown condo with floor-to-ceiling windows and skyline views.
3148 Chestnut Ct,965000,1,1,Waterfront property with a private dock and panoramic lake views.
4364 Chestnut Ave,385000,1,2,Rural farmhouse on several acres with a barn and mature fruit trees.
3379 Oak Ave,580000,4,2.5,Gated community home with a shared clubhouse and resort-style pool.
1538 Willow Blvd,605000,2,2.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
8982 Birch Dr,260000,1,3,Compact studio apartment walking distance to shops and public transit.
6022 Magnolia Ave,505000,4,1.5,Cozy suburban family home with a fenced backyard near top-rated schools.
3978 Chestnut St,445000,5,1.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
7757 Magnolia Ave,235000,4,2,Compact studio apartment walking distance to shops and public transit.
6623 Chestnut Ct,455000,1,2,Gated community home with a shared clubhouse and resort-style pool.
1308 Cedar Dr,455000,3,3,Rural farmhouse on several acres with a barn and mature fruit trees.
5744 Cedar Ct,605000,3,3,Modern downtown condo with floor-to-ceiling windows and skyline views.
7188 Magnolia St,515000,5,1.5,Gated community home with a shared clubhouse and resort-style pool.
2753 Willow Blvd,415000,3,1.5,Modern downtown condo with floor-to-ceiling windows and skyline views.
1392 Birch Ave,150000,4,2,"Fixer-upper with great bones, ideal for an investor or renovation project."
8840 Oak Ct,655000,2,2,Historic brownstone with original woodwork and updated kitchen.
2904 Sycamore Blvd,465000,4,1.5,Cozy suburban family home with a fenced backyard near top-rated schools.
774 Maple St,615000,5,3,Gated community home with a shared clubhouse and resort-style pool.
9473 Pine Ct,1875000,4,1.5,"Luxury estate with private pool, home theater, and a three-car garage."
4845 Birch Ln,2470000,4,3,"Luxury estate with private pool, home theater, and a three-car garage."
7530 Oak Blvd,200000,3,2,"Fixer-upper with great bones, ideal for an investor or renovation project."
8033 Chestnut Ave,1600000,3,2.5,"Luxury estate with private pool, home theater, and a three-car garage."
5331 Willow Ln,245000,2,2,Compact studio apartment walking distance to shops and public transit.
1839 Willow Ave,395000,4,3,Cozy suburban family home with a fenced backyard near top-rated schools.
4161 Cedar St,375000,3,2.5,Newly built townhouse with an open floor plan and attached two-car garage.
6950 Elm Ave,1940000,3,3,"Luxury estate with private pool, home theater, and a three-car garage."
3210 Cedar Ln,240000,4,2,Compact studio apartment walking distance to shops and public transit.
8248 Maple St,775000,3,2,Historic brownstone with original woodwork and updated kitchen.
3624 Sycamore Dr,370000,3,1.5,Rural farmhouse on several acres with a barn and mature fruit trees.
9889 Chestnut Dr,1325000,3,2.5,"Luxury estate with private pool, home theater, and a three-car garage."
7160 Cedar Dr,485000,5,1,Historic brownstone with original woodwork and updated kitchen.
841 Pine St,270000,3,2,Compact studio apartment walking distance to shops and public transit.
9164 Birch St,755000,2,2,Gated community home with a shared clubhouse and resort-style pool.
4682 Sycamore Blvd,370000,3,3,Rural farmhouse on several acres with a barn and mature fruit trees.
6553 Willow Dr,475000,2,1,Gated community home with a shared clubhouse and resort-style pool.
3361 Sycamore Ct,710000,5,1.5,Historic brownstone with original woodwork and updated kitchen.
737 Cedar Blvd,370000,1,1,Rural farmhouse on several acres with a barn and mature fruit trees.
7587 Cedar Ct,275000,3,3,Compact studio apartment walking distance to shops and public transit.
5318 Cedar Ln,565000,3,3,Historic brownstone with original woodwork and updated kitchen.
8411 Magnolia Ct,590000,4,2,Gated community home with a shared clubhouse and resort-style pool.
7880 Maple Dr,565000,4,2,Newly built townhouse with an open floor plan and attached two-car garage.
9663 Birch Blvd,255000,1,2.5,Compact studio apartment walking distance to shops and public transit.
9563 Elm Blvd,2410000,3,3,"Luxury estate with private pool, home theater, and a three-car garage."
6329 Cedar Blvd,2425000,2,3,"Luxury estate with private pool, home theater, and a three-car garage."
3225 Maple Ln,100000,4,1,"Fixer-upper with great bones, ideal for an investor or renovation project."
3440 Pine Ct,215000,2,2.5,Compact studio apartment walking distance to shops and public transit.
2362 Magnolia Ave,700000,5,1,Gated community home with a shared clubhouse and resort-style pool.
8709 Pine Dr,685000,4,2.5,Historic brownstone with original woodwork and updated kitchen.
