Item Name,Price,Description
Classic Cheeseburger,14.0,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
Beet and Goat Cheese Salad,10.5,"Roasted beets, goat cheese, walnuts, and arugula"
Beet and Goat Cheese Salad,10.5,"Roasted beets, goat cheese, walnuts, and arugula"
Espresso Martini,13.0,"Vodka, espresso, and coffee liqueur shaken over ice"
Espresso Martini,13.0,"Vodka, espresso, and coffee liqueur shaken over ice"
Tiramisu,8.0,Espresso-soaked ladyfingers layered with mascarpone cream
Mushroom Risotto,18.0,Creamy arborio rice with wild mushrooms and parmesan
Fettuccine Alfredo,16.0,Fettuccine tossed in a creamy parmesan sauce
New York Cheesecake,7.0,Classic creamy cheesecake with a graham cracker crust
Iced Matcha Latte,5.5,Ceremonial grade matcha whisked with milk over ice
Iced Matcha Latte,5.5,Ceremonial grade matcha whisked with milk over ice
Tiramisu,8.0,Espresso-soaked ladyfingers layered with mascarpone cream
Tiramisu,9.0,Espresso-soaked ladyfingers layered with mascarpone cream
Shrimp Tacos,15.0,"Grilled shrimp, cabbage slaw, and chipotle crema in corn tortillas"
Shrimp Tacos,15.0,"Grilled shrimp, cabbage slaw, and chipotle crema in corn tortillas"
Beet and Goat Cheese Salad,11.5,"Roasted beets, goat cheese, walnuts, and arugula"
New York Cheesecake,7.5,Classic creamy cheesecake with a graham cracker crust
Grilled Salmon,21.5,Atlantic salmon grilled and served with seasonal vegetables
Espresso Martini,11.5,"Vodka, espresso, and coffee liqueur shaken over ice"
Vegetarian Buddha Bowl,13.5,"Quinoa, roasted vegetables, chickpeas, and tahini dressing"
House Red Wine,9.0,Glass of the house Cabernet Sauvignon
Iced Matcha Latte,5.5,Ceremonial grade matcha whisked with milk over ice
Iced Matcha Latte,6.5,Ceremonial grade matcha whisked with milk over ice
Tomato Basil Soup,6.5,Slow-simmered tomato soup finished with fresh basil and cream
Buffalo Chicken Wings,12.0,"Crispy wings tossed in buffalo sauce, served with blue cheese"
New York Cheesecake,8.5,Classic creamy cheesecake with a graham cracker crust
Shrimp Tacos,15.0,"Grilled shrimp, cabbage slaw, and chipotle crema in corn tortillas"
Fettuccine Alfredo,15.5,Fettuccine tossed in a creamy parmesan sauce
New York Cheesecake,7.0,Classic creamy cheesecake with a graham cracker crust
Tiramisu,8.0,Espresso-soaked ladyfingers layered with mascarpone cream
Margherita Pizza,14.0,"Wood-fired pizza with fresh mozzarella, basil, and San Marzano tomatoes"
Mushroom Risotto,18.5,Creamy arborio rice with wild mushrooms and parmesan
Ribeye Steak,32.0,12oz ribeye grilled to order with garlic butter
Chocolate Lava Cake,8.5,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Espresso Martini,11.5,"Vodka, espresso, and coffee liqueur shaken over ice"
Chocolate Lava Cake,9.5,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Chocolate Lava Cake,8.5,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Grilled Salmon,22.5,Atlantic salmon grilled and served with seasonal vegetables
Craft Draft Beer,8.0,Rotating selection of local craft beers on tap
Shrimp Tacos,15.0,"Grilled shrimp, cabbage slaw, and chipotle crema in corn tortillas"
Espresso Martini,12.0,"Vodka, espresso, and coffee liqueur shaken over ice"
Loaded Nachos,9.0,"Crispy tortilla chips with melted cheese, jalapenos, and pico de gallo"
Classic Cheeseburger,14.0,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
Fresh Squeezed Lemonade,5.0,House-made lemonade with fresh mint
Shrimp Tacos,16.0,"Grilled shrimp, cabbage slaw, and chipotle crema in corn tortillas"
Fettuccine Alfredo,16.0,Fettuccine tossed in a creamy parmesan sauce
Craft Draft Beer,7.0,Rotating selection of local craft beers on tap
Fresh Squeezed Lemonade,4.5,House-made lemonade with fresh mint
Clam Chowder,8.5,"New England style chowder with clams, potatoes, and cream"
Fresh Squeezed Lemonade,4.0,House-made lemonade with fresh mint
Chocolate Lava Cake,8.0,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Falafel Wrap,12.5,"Crispy falafel, hummus, and pickled vegetables in a warm wrap"
Caesar Salad,8.0,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
Vegan Lentil Curry,14.5,"Red lentils simmered in a coconut curry sauce, served with rice"
Caesar Salad,8.5,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
Shrimp Tacos,15.0,"Grilled shrimp, cabbage slaw, and chipotle crema in corn tortillas"
Falafel Wrap,11.5,"Crispy falafel, hummus, and pickled vegetables in a warm wrap"
Caesar Salad,8.0,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
Iced Matcha Latte,5.0,Ceremonial grade matcha whisked with milk over ice
Mushroom Risotto,17.5,Creamy arborio rice with wild mushrooms and parmesan
Craft Draft Beer,7.0,Rotating selection of local craft beers on tap
Buffalo Chicken Wings,12.0,"Crispy wings tossed in buffalo sauce, served with blue cheese"
Beet and Goat Cheese Salad,10.0,"Roasted beets, goat cheese, walnuts, and arugula"
Shrimp Tacos,15.0,"Grilled shrimp, cabbage slaw, and chipotle crema in corn tortillas"
French Onion Soup,8.0,Caramelized onion soup topped with melted gruyere
New York Cheesecake,7.5,Classic creamy cheesecake with a graham cracker crust
Grilled Salmon,22.0,Atlantic salmon grilled and served with seasonal vegetables
Classic Cheeseburger,14.5,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
Buffalo Chicken Wings,12.0,"Crispy wings tossed in buffalo sauce, served with blue cheese"
New York Cheesecake,8.5,Classic creamy cheesecake with a graham cracker crust
Classic Cheeseburger,13.5,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
Falafel Wrap,11.5,"Crispy falafel, hummus, and pickled vegetables in a warm wrap"
Iced Matcha Latte,5.0,Ceremonial grade matcha whisked with milk over ice
Espresso Martini,12.0,"Vodka, espresso, and coffee liqueur shaken over ice"
Classic Cheeseburger,13.0,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
Fresh Squeezed Lemonade,5.0,House-made lemonade with fresh mint
Vegan Lentil Curry,14.0,"Red lentils simmered in a coconut curry sauce, served with rice"
Craft Draft Beer,7.0,Rotating selection of local craft beers on tap
Vegetarian Buddha Bowl,14.0,"Quinoa, roasted vegetables, chickpeas, and tahini dressing"
Grilled Salmon,22.0,Atlantic salmon grilled and served with seasonal vegetables
Margherita Pizza,14.5,"Wood-fired pizza with fresh mozzarella, basil, and San Marzano tomatoes"
Craft Draft Beer,7.0,Rotating selection of local craft beers on tap
Loaded Nachos,9.5,"Crispy tortilla chips with melted cheese, jalapenos, and pico de gallo"
Vegetarian Buddha Bowl,13.0,"Quinoa, roasted vegetables, chickpeas, and tahini dressing"
Buffalo Chicken Wings,11.0,"Crispy wings tossed in buffalo sauce, served with blue cheese"
Craft Draft Beer,7.0,Rotating selection of local craft beers on tap
Ribeye Steak,33.0,12oz ribeye grilled to order with garlic butter
Ribeye Steak,32.0,12oz ribeye grilled to order with garlic butter
New York Cheesecake,8.5,Classic creamy cheesecake with a graham cracker crust
House Red Wine,10.0,Glass of the house Cabernet Sauvignon
Chocolate Lava Cake,8.5,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Espresso Martini,12.0,"Vodka, espresso, and coffee liqueur shaken over ice"
Buffalo Chicken Wings,11.0,"Crispy wings tossed in buffalo sauce, served with blue cheese"
Classic Cheeseburger,14.0,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
Espresso Martini,11.5,"Vodka, espresso, and coffee liqueur shaken over ice"
Tiramisu,8.0,Espresso-soaked ladyfingers layered with mascarpone cream
Tiramisu,8.0,Espresso-soaked ladyfingers layered with mascarpone cream
Fresh Squeezed Lemonade,4.5,House-made lemonade with fresh mint
House Red Wine,8.5,Glass of the house Cabernet Sauvignon
Chocolate Lava Cake,8.5,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Margherita Pizza,14.5,"Wood-fired pizza with fresh mozzarella, basil, and San Marzano tomatoes"
Margherita Pizza,14.5,"Wood-fired pizza with fresh mozzarella, basil, and San Marzano tomatoes"
Falafel Wrap,11.0,"Crispy falafel, hummus, and pickled vegetables in a warm wrap"
House Red Wine,9.5,Glass of the house Cabernet Sauvignon
Tiramisu,7.5,Espresso-soaked ladyfingers layered with mascarpone cream
Shrimp Tacos,14.5,"Grilled shrimp, cabbage slaw, and chipotle crema in corn tortillas"
Espresso Martini,12.0,"Vodka, espresso, and coffee liqueur shaken over ice"
Clam Chowder,8.5,"New England style chowder with clams, potatoes, and cream"
Espresso Martini,11.5,"Vodka, espresso, and coffee liqueur shaken over ice"
Tomato Basil Soup,6.0,Slow-simmered tomato soup finished with fresh basil and cream
Buffalo Chicken Wings,10.5,"Crispy wings tossed in buffalo sauce, served with blue cheese"
Tiramisu,8.0,Espresso-soaked ladyfingers layered with mascarpone cream
Tomato Basil Soup,6.0,Slow-simmered tomato soup finished with fresh basil and cream
Grilled Salmon,22.0,Atlantic salmon grilled and served with seasonal vegetables
Beet and Goat Cheese Salad,10.0,"Roasted beets, goat cheese, walnuts, and arugula"
Fettuccine Alfredo,15.5,Fettuccine tossed in a creamy parmesan sauce
Beet and Goat Cheese Salad,10.5,"Roasted beets, goat cheese, walnuts, and arugula"
Classic Cheeseburger,13.5,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
French Onion Soup,8.0,Caramelized onion soup topped with melted gruyere
Grilled Salmon,23.0,Atlantic salmon grilled and served with seasonal vegetables
Fettuccine Alfredo,17.0,Fettuccine tossed in a creamy parmesan sauce
Ribeye Steak,32.5,12oz ribeye grilled to order with garlic butter
Tomato Basil Soup,6.0,Slow-simmered tomato soup finished with fresh basil and cream
Buffalo Chicken Wings,11.0,"Crispy wings tossed in buffalo sauce, served with blue cheese"
Buffalo Chicken Wings,11.0,"Crispy wings tossed in buffalo sauce, served with blue cheese"
French Onion Soup,8.0,Caramelized onion soup topped with melted gruyere
Buffalo Chicken Wings,10.5,"Crispy wings tossed in buffalo sauce, served with blue cheese"
Caesar Salad,7.5,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
Buffalo Chicken Wings,12.0,"Crispy wings tossed in buffalo sauce, served with blue cheese"
Iced Matcha Latte,6.5,Ceremonial grade matcha whisked with milk over ice
Loaded Nachos,10.0,"Crispy tortilla chips with melted cheese, jalapenos, and pico de gallo"
New York Cheesecake,7.5,Classic creamy cheesecake with a graham cracker crust
Falafel Wrap,11.5,"Crispy falafel, hummus, and pickled vegetables in a warm wrap"
Ribeye Steak,32.0,12oz ribeye grilled to order with garlic butter
Caesar Salad,8.5,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
House Red Wine,10.0,Glass of the house Cabernet Sauvignon
Tomato Basil Soup,6.0,Slow-simmered tomato soup finished with fresh basil and cream
Caesar Salad,8.0,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
Shrimp Tacos,15.0,"Grilled shrimp, cabbage slaw, and chipotle crema in corn tortillas"
Iced Matcha Latte,6.0,Ceremonial grade matcha whisked with milk over ice
Classic Cheeseburger,13.5,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
Clam Chowder,9.5,"New England style chowder with clams, potatoes, and cream"
Falafel Wrap,12.5,"Crispy falafel, hummus, and pickled vegetables in a warm wrap"
Vegan Lentil Curry,14.5,"Red lentils simmered in a coconut curry sauce, served with rice"
Vegetarian Buddha Bowl,13.5,"Quinoa, roasted vegetables, chickpeas, and tahini dressing"
Vegetarian Buddha Bowl,13.5,"Quinoa, roasted vegetables, chickpeas, and tahini dressing"
Tomato Basil Soup,7.5,Slow-simmered tomato soup finished with fresh basil and cream
Espresso Martini,11.5,"Vodka, espresso, and coffee liqueur shaken over ice"
Margherita Pizza,15.0,"Wood-fired pizza with fresh mozzarella, basil, and San Marzano tomatoes"
House Red Wine,9.0,Glass of the house Cabernet Sauvignon
Classic Cheeseburger,13.0,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
Vegetarian Buddha Bowl,12.5,"Quinoa, roasted vegetables, chickpeas, and tahini dressing"
Margherita Pizza,15.0,"Wood-fired pizza with fresh mozzarella, basil, and San Marzano tomatoes"
Chocolate Lava Cake,8.5,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Clam Chowder,8.5,"New England style chowder with clams, potatoes, and cream"
Iced Matcha Latte,6.0,Ceremonial grade matcha whisked with milk over ice
Espresso Martini,13.0,"Vodka, espresso, and coffee liqueur shaken over ice"
Beet and Goat Cheese Salad,11.0,"Roasted beets, goat cheese, walnuts, and arugula"
Beet and Goat Cheese Salad,11.0,"Roasted beets, goat cheese, walnuts, and arugula"
Chocolate Lava Cake,8.5,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Buffalo Chicken Wings,11.0,"Crispy wings tossed in buffalo sauce, served with blue cheese"
Margherita Pizza,14.0,"Wood-fired pizza with fresh mozzarella, basil, and San Marzano tomatoes"
Fettuccine Alfredo,17.0,Fettuccine tossed in a creamy parmesan sauce
Clam Chowder,8.5,"New England style chowder with clams, potatoes, and cream"
Caesar Salad,9.0,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
Vegan Lentil Curry,14.0,"Red lentils simmered in a coconut curry sauce, served with rice"
Clam Chowder,8.5,"New England style chowder with clams, potatoes, and cream"
Chocolate Lava Cake,8.5,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Tomato Basil Soup,6.5,Slow-simmered tomato soup finished with fresh basil and cream
Mushroom Risotto,17.5,Creamy arborio rice with wild mushrooms and parmesan
Buffalo Chicken Wings,10.5,"Crispy wings tossed in buffalo sauce, served with blue cheese"
Espresso Martini,13.0,"Vodka, espresso, and coffee liqueur shaken over ice"
Caesar Salad,8.0,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
Falafel Wrap,11.5,"Crispy falafel, hummus, and pickled vegetables in a warm wrap"
Vegetarian Buddha Bowl,13.5,"Quinoa, roasted vegetables, chickpeas, and tahini dressing"
Chocolate Lava Cake,8.0,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Fettuccine Alfredo,16.0,Fettuccine tossed in a creamy parmesan sauce
Margherita Pizza,13.5,"Wood-fired pizza with fresh mozzarella, basil, and San Marzano tomatoes"
Iced Matcha Latte,5.5,Ceremonial grade matcha whisked with milk over ice
Falafel Wrap,11.0,"Crispy falafel, hummus, and pickled vegetables in a warm wrap"
Craft Draft Beer,6.5,Rotating selection of local craft beers on tap
Mushroom Risotto,18.5,Creamy arborio rice with wild mushrooms and parmesan
Craft Draft Beer,7.0,Rotating selection of local craft beers on tap
Iced Matcha Latte,5.5,Ceremonial grade matcha whisked with milk over ice
Espresso Martini,11.5,"Vodka, espresso, and coffee liqueur shaken over ice"
Chocolate Lava Cake,9.0,"Warm chocolate cake with a molten center, served with vanilla ice cream"
Iced Matcha Latte,5.5,Ceremonial grade matcha whisked with milk over ice
Caesar Salad,7.5,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
Ribeye Steak,33.0,12oz ribeye grilled to order with garlic butter
Classic Cheeseburger,14.5,"Beef patty with cheddar, lettuce, tomato, and house sauce on a brioche bun"
Espresso Martini,12.5,"Vodka, espresso, and coffee liqueur shaken over ice"
Beet and Goat Cheese Salad,11.0,"Roasted beets, goat cheese, walnuts, and arugula"
Caesar Salad,8.0,"Romaine lettuce, parmesan, croutons, and creamy Caesar dressing"
Fresh Squeezed Lemonade,5.5,House-made lemonade with fresh mint
Vegetarian Buddha Bowl,12.5,"Quinoa, roasted vegetables, chickpeas, and tahini dressing"
Craft Draft Beer,8.0,Rotating selection of local craft beers on tap
Vegan Lentil Curry,15.0,"Red lentils simmered in a coconut curry sauce, served with rice"
Margherita Pizza,14.0,"Wood-fired pizza with fresh mozzarella, basil, and San Marzano tomatoes"
Vegetarian Buddha Bowl,13.0,"Quinoa, roasted vegetables, chickpeas, and tahini dressing"
Clam Chowder,8.0,"New England style chowder with clams, potatoes, and cream"
